provider,source_dataset,source_file,source_layer,source_id,asset_class,asset_label,provider_class,subclass,name,status,country,commodity_group,liquid_capacity_bpd,liquid_throughput_bpd,gas_capacity_mmcfd,gas_throughput_mmcfd,lng_capacity_mtpa,lng_capacity_bcmy,oil_production_bpd,capacity_kbd,production_kbd,primary_output_kind,primary_output_value,primary_output_unit,primary_output_basis,geometry_role,provider_priority,lat,lon
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Gathering_and_Processing,106790,processing_facility,Processing Facility,GATHERING AND PROCESSING,,LEKHWAIR - GPP,N/A,OMAN,,,,,,,,,,,,,,,site,1,22.85025,55.34233
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Gathering_and_Processing,106824,processing_facility,Processing Facility,GATHERING AND PROCESSING,,SHAH FACILITIES,N/A,UNITED ARAB EMIRATES,,,,,,,,,,,,,,,site,1,22.88285,53.77954
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Gathering_and_Processing,106813,processing_facility,Processing Facility,GATHERING AND PROCESSING,,ASAB FACILITIES,N/A,UNITED ARAB EMIRATES,,,,,,,,,,,,,,,site,1,23.25572,54.19477
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Gathering_and_Processing,106825,processing_facility,Processing Facility,GATHERING AND PROCESSING,,ASAB FACILITIES,N/A,UNITED ARAB EMIRATES,,,,,,,,,,,,,,,site,1,23.29135,54.22543
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Gathering_and_Processing,106818,processing_facility,Processing Facility,GATHERING AND PROCESSING,,ASAB FACILITIES,N/A,UNITED ARAB EMIRATES,,,,,,,,,,,,,,,site,1,23.31318,54.17449
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Gathering_and_Processing,106814,processing_facility,Processing Facility,GATHERING AND PROCESSING,,ASAB FACILITIES,N/A,UNITED ARAB EMIRATES,,,,,,,,,,,,,,,site,1,23.35324,54.25584
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Gathering_and_Processing,106832,processing_facility,Processing Facility,GATHERING AND PROCESSING,,BU HASA FACILITIES,N/A,UNITED ARAB EMIRATES,,,,,,,,,,,,,,,site,1,23.53349,53.29217
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Gathering_and_Processing,106815,processing_facility,Processing Facility,GATHERING AND PROCESSING,,BU HASA FACILITIES,N/A,UNITED ARAB EMIRATES,,,,,,,,,,,,,,,site,1,23.54665,53.31075
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Gathering_and_Processing,106821,processing_facility,Processing Facility,GATHERING AND PROCESSING,,FACILITIES,N/A,UNITED ARAB EMIRATES,,,,,,,,,,,,,,,site,1,23.57811,53.7306
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Gathering_and_Processing,106816,processing_facility,Processing Facility,GATHERING AND PROCESSING,,BU HASA FACILITIES,N/A,UNITED ARAB EMIRATES,,,,,,,,,,,,,,,site,1,23.60968,53.30894
