incident_id,incident_day,wave_number,site_id,site_name,country,asset_class,product_group,capacity_kboed_equiv,confidence_tier,distance_km,energy_relevant_flag,capacity_available_flag,capacity_source,match_quality,link_rank
wiki_20260308_conflict_2026_iranian_strikes__64,2026-03-08,,site_67,QATAR NORTH FIELD LNG TERMINAL,QATAR,lng_facility,gas,187.93103448275863,high,0,TRUE,TRUE,energy_sites_direct,energy_sites_direct,1
wiki_20260309_drones_targeting_shaybah_oil_f_228,2026-03-09,,site_3789,SHAYBAH,"SAUDI ARABIA, UNITED ARAB EMIRATES",extraction_site,,,high,0,TRUE,FALSE,unmatched,unmatched,1
iransm_s194,2026-03-09,,site_5123,N/A,BAHRAIN,other_energy_site,,,high,1.138947734564918,TRUE,FALSE,unmatched,ambiguous,1
wiki_20260309_iran_continued_firing_missiles_229,2026-03-09,,site_62,IRAN NIOC LNG TERMINAL,IRAN,lng_facility,gas,122.58620689655172,high,0,TRUE,TRUE,energy_sites_direct,energy_sites_direct,1
wiki_20260309_iran_continued_firing_missiles_229,2026-03-09,,site_91,Kangan LNG Terminal,IRAN,lng_facility,gas,47.6,high,1.1119492675886226e-4,TRUE,TRUE,energy_sites_direct,energy_sites_direct,2
wiki_20260309_iran_continued_firing_missiles_229,2026-03-09,,site_96,Persian NIOC LNG Terminal,IRAN,lng_facility,gas,380.8,high,1.1119492675886226e-4,TRUE,TRUE,energy_sites_direct,energy_sites_direct,3
wiki_20260310_were_hit_near_the_port_237,2026-03-10,,site_36,PORT SUDAN,SUDAN,refinery,oil,21.7,high,0,TRUE,TRUE,energy_sites_direct,energy_sites_direct,1
wiki_20260310_on_7_march_the_ministry_of_int_80,2026-03-10,,site_387,AL ARAB 1,EGYPT,extraction_site,,,high,0,TRUE,FALSE,unmatched,unmatched,1
wiki_20260310_at_the_ruwais_industrial_compl_35,2026-03-10,,site_4890,N/A,UNITED ARAB EMIRATES,other_energy_site,,,high,1.0457755794550312,TRUE,FALSE,unmatched,ambiguous,1
wiki_20260310_fujairah_30,2026-03-10,,site_88,Fujairah LNG Terminal,UNITED ARAB EMIRATES,lng_facility,gas,442.68000000000006,high,0,TRUE,TRUE,energy_sites_direct,energy_sites_direct,1
wiki_20260311_at_the_mina_salman_port_236,2026-03-11,,site_206,N/A,KUWAIT,petroleum_terminal,,,high,1.6178757613879666,TRUE,FALSE,unmatched,ambiguous,4
wiki_20260311_at_the_mina_salman_port_236,2026-03-11,,site_29,MINA ABDULLA,KUWAIT,refinery,oil,240,high,0,TRUE,TRUE,energy_sites_direct,energy_sites_direct,1
wiki_20260311_the_mayuree_naree_was_a_thai_o_7,2026-03-11,,site_3942,UNKNOWN,IRAQ,extraction_site,,,high,0,TRUE,FALSE,unmatched,ambiguous,1
wiki_20260311_uae_said_that_they_intercepted_37,2026-03-11,,site_46,UMM SAID,QATAR,refinery,oil,200,high,0,TRUE,TRUE,energy_sites_direct,energy_sites_direct,1
wiki_20260311_shut_down_its_ruwais_refinery_232,2026-03-11,,site_4890,N/A,UNITED ARAB EMIRATES,other_energy_site,,,high,1.0457755794550312,TRUE,FALSE,unmatched,ambiguous,1
wiki_20260311_uae_said_that_they_intercepted_37,2026-03-11,,site_4983,N/A,QATAR,other_energy_site,,,high,1.166703824377593,TRUE,FALSE,unmatched,ambiguous,2
wiki_20260311_bapco_230,2026-03-11,,site_5115,N/A,BAHRAIN,other_energy_site,,,high,1.5619504881554973,TRUE,FALSE,unmatched,ambiguous,3
wiki_20260311_bapco_230,2026-03-11,,site_5118,N/A,BAHRAIN,other_energy_site,,,high,0.9561119706529966,TRUE,FALSE,unmatched,ambiguous,1
wiki_20260311_bapco_230,2026-03-11,,site_5119,N/A,BAHRAIN,other_energy_site,,,high,1.4500519863427084,TRUE,FALSE,unmatched,ambiguous,2
wiki_20260311_at_the_mina_salman_port_236,2026-03-11,,site_5327,N/A,KUWAIT,other_energy_site,,,high,0.8133747940643028,TRUE,FALSE,unmatched,ambiguous,2
wiki_20260311_at_the_mina_salman_port_236,2026-03-11,,site_5331,N/A,KUWAIT,other_energy_site,,,high,0.9174938121943618,TRUE,FALSE,unmatched,ambiguous,3
wiki_20260311_list_of_ships_attacked_during__8,2026-03-11,,site_62,IRAN NIOC LNG TERMINAL,IRAN,lng_facility,gas,122.58620689655172,high,0,TRUE,TRUE,energy_sites_direct,energy_sites_direct,1
